iShares Global Tech ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Nov 12, 2001"
Shares Outstanding,"62,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","33,958,488.72","0.55","33,958,488.72","91,884.00","369.58","United States","NASDAQ","USD","1.00","USD","-"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","33,241,450.68","0.54","33,241,450.68","702,000.00","47.35","Taiwan","Taiwan Stock Exchange","USD","31.89","TWD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","33,130,422.34","0.54","33,130,422.34","53,798.00","615.83","United States","NASDAQ","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","30,209,103.81","0.49","30,209,103.81","79,483.00","380.07","United States","NASDAQ","USD","1.00","USD","-"
"2454","MEDIATEK INC","Information Technology","Equity","29,126,801.20","0.47","29,126,801.20","586,000.00","49.70","Taiwan","Taiwan Stock Exchange","USD","31.89","TWD","Jul 23, 2001"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","27,710,958.84","0.45","27,710,958.84","4,429,378.00","6.26","Taiwan","Taiwan Stock Exchange","USD","31.89","TWD","Sep 26, 1991"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","26,962,301.70","0.44","26,962,301.70","99,210.00","271.77","United States","NASDAQ","USD","1.00","USD","-"
"1810","XIAOMI CORP","Information Technology","Equity","26,576,725.52","0.43","26,576,725.52","6,307,865.00","4.21","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","26,530,934.04","0.43","26,530,934.04","69,732.00","380.47","United States","NASDAQ","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","26,465,323.28","0.43","26,465,323.28","60,379.00","438.32","United States","NYSE","USD","1.00","USD","-"
"6861","KEYENCE CORP","Information Technology","Equity","25,717,863.19","0.42","25,717,863.19","71,840.00","357.99","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","24,875,485.42","0.40","24,875,485.42","297,402.00","83.64","Korea (South)","Korea Exchange (Stock Market)","USD","1,508.80","KRW","Jun 07, 1993"
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","21,618,670.86","0.35","21,618,670.86","106,949.00","202.14","United States","NYSE","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","20,618,657.40","0.34","20,618,657.40","51,340.00","401.61","United States","NYSE","USD","1.00","USD","-"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","20,524,628.16","0.33","20,524,628.16","475,975.00","43.12","Germany","Xetra","USD","0.87","EUR","-"
